Class,Injured,Gender,Item,Filename
"Default","False","Female","Bow","consolidated_dataset/test_00000.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00001.png"
"Default","False","Female","Bow","consolidated_dataset/test_00002.png"
"Default","False","Male","None","consolidated_dataset/test_00003.png"
"Zombie","True","Female","None","consolidated_dataset/test_00004.png"
"Zombie","True","Female","Bow","consolidated_dataset/test_00005.png"
"Default","True","Female","None","consolidated_dataset/test_00006.png"
"Zombie","False","Male","None","consolidated_dataset/test_00007.png"
"Default","False","Female","None","consolidated_dataset/test_00008.png"
"Zombie","True","Male","None","consolidated_dataset/test_00009.png"
"Default","False","Female","None","consolidated_dataset/test_00010.png"
"Default","False","Female","Staff","consolidated_dataset/test_00011.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00012.png"
"Zombie","True","Female","Staff","consolidated_dataset/test_00013.png"
"Zombie","False","Male","Bow","consolidated_dataset/test_00014.png"
"Default","False","Female","Bow","consolidated_dataset/test_00015.png"
"Zombie","True","Male","None","consolidated_dataset/test_00016.png"
"Default","True","Female","Bow","consolidated_dataset/test_00017.png"
"Zombie","True","Female","Hammer","consolidated_dataset/test_00018.png"
"Default","True","Female","Hammer","consolidated_dataset/test_00019.png"
"Default","False","Female","None","consolidated_dataset/test_00020.png"
"Default","False","Female","Staff","consolidated_dataset/test_00021.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00022.png"
"Default","False","Male","None","consolidated_dataset/test_00023.png"
"Zombie","True","Female","None","consolidated_dataset/test_00024.png"
"Default","True","Male","None","consolidated_dataset/test_00025.png"
"Default","False","Male","None","consolidated_dataset/test_00026.png"
"Zombie","True","Male","None","consolidated_dataset/test_00027.png"
"Default","False","Female","Bow","consolidated_dataset/test_00028.png"
"Zombie","True","Female","Bow","consolidated_dataset/test_00029.png"
"Zombie","True","Male","Bow","consolidated_dataset/test_00030.png"
"Zombie","True","Female","None","consolidated_dataset/test_00031.png"
"Zombie","False","Male","None","consolidated_dataset/test_00032.png"
"Zombie","True","Male","Staff","consolidated_dataset/test_00033.png"
"Zombie","True","Female","None","consolidated_dataset/test_00034.png"
"Default","True","Female","Bow","consolidated_dataset/test_00035.png"
"Default","False","Male","Staff","consolidated_dataset/test_00036.png"
"Zombie","True","Male","Bow","consolidated_dataset/test_00037.png"
"Default","False","Female","Staff","consolidated_dataset/test_00038.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00039.png"
"Default","False","Male","None","consolidated_dataset/test_00040.png"
"Default","False","Female","Bow","consolidated_dataset/test_00041.png"
"Zombie","False","Male","Bow","consolidated_dataset/test_00042.png"
"Zombie","True","Female","Staff","consolidated_dataset/test_00043.png"
"Zombie","False","Female","Bow","consolidated_dataset/test_00044.png"
"Zombie","True","Female","Staff","consolidated_dataset/test_00045.png"
"Zombie","True","Male","None","consolidated_dataset/test_00046.png"
"Zombie","False","Female","None","consolidated_dataset/test_00047.png"
"Zombie","False","Female","Bow","consolidated_dataset/test_00048.png"
"Zombie","True","Male","None","consolidated_dataset/test_00049.png"
"Default","True","Male","Bow","consolidated_dataset/test_00050.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00051.png"
"Default","False","Male","None","consolidated_dataset/test_00052.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00053.png"
"Default","False","Male","Staff","consolidated_dataset/test_00054.png"
"Default","False","Female","Staff","consolidated_dataset/test_00055.png"
"Default","False","Female","None","consolidated_dataset/test_00056.png"
"Default","False","Male","None","consolidated_dataset/test_00057.png"
"Zombie","False","Male","Staff","consolidated_dataset/test_00058.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00059.png"
"Zombie","True","Male","None","consolidated_dataset/test_00060.png"
"Zombie","False","Female","None","consolidated_dataset/test_00061.png"
"Default","True","Male","None","consolidated_dataset/test_00062.png"
"Default","True","Male","None","consolidated_dataset/test_00063.png"
"Default","True","Female","Bow","consolidated_dataset/test_00064.png"
"Default","False","Male","None","consolidated_dataset/test_00065.png"
"Default","False","Male","None","consolidated_dataset/test_00066.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00067.png"
"Default","False","Male","Staff","consolidated_dataset/test_00068.png"
"Default","False","Male","None","consolidated_dataset/test_00069.png"
"Zombie","True","Female","Hammer","consolidated_dataset/test_00070.png"
"Zombie","True","Female","Bow","consolidated_dataset/test_00071.png"
"Zombie","False","Female","None","consolidated_dataset/test_00072.png"
"Default","False","Male","Staff","consolidated_dataset/test_00073.png"
"Zombie","False","Female","None","consolidated_dataset/test_00074.png"
"Default","False","Female","None","consolidated_dataset/test_00075.png"
"Zombie","True","Male","None","consolidated_dataset/test_00076.png"
"Zombie","False","Male","None","consolidated_dataset/test_00077.png"
"Default","False","Female","Staff","consolidated_dataset/test_00078.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00079.png"
"Zombie","True","Female","Hammer","consolidated_dataset/test_00080.png"
"Default","False","Female","Staff","consolidated_dataset/test_00081.png"
"Zombie","False","Female","Staff","consolidated_dataset/test_00082.png"
"Default","False","Male","Bow","consolidated_dataset/test_00083.png"
"Default","False","Male","Bow","consolidated_dataset/test_00084.png"
"Default","False","Female","None","consolidated_dataset/test_00085.png"
"Zombie","False","Male","Staff","consolidated_dataset/test_00086.png"
"Zombie","False","Female","None","consolidated_dataset/test_00087.png"
"Zombie","False","Male","None","consolidated_dataset/test_00088.png"
"Zombie","False","Male","Staff","consolidated_dataset/test_00089.png"
"Default","True","Male","Bow","consolidated_dataset/test_00090.png"
"Zombie","False","Male","None","consolidated_dataset/test_00091.png"
"Zombie","True","Male","None","consolidated_dataset/test_00092.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00093.png"
"Default","False","Female","None","consolidated_dataset/test_00094.png"
"Zombie","True","Female","Hammer","consolidated_dataset/test_00095.png"
"Default","False","Female","Staff","consolidated_dataset/test_00096.png"
"Zombie","True","Female","Bow","consolidated_dataset/test_00097.png"
"Default","False","Female","None","consolidated_dataset/test_00098.png"
"Zombie","True","Female","None","consolidated_dataset/test_00099.png"
"Default","False","Female","Staff","consolidated_dataset/test_00100.png"
"Zombie","True","Male","Hammer","consolidated_dataset/test_00101.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00102.png"
"Zombie","False","Male","Bow","consolidated_dataset/test_00103.png"
"Default","False","Female","None","consolidated_dataset/test_00104.png"
"Zombie","False","Female","None","consolidated_dataset/test_00105.png"
"Zombie","True","Female","None","consolidated_dataset/test_00106.png"
"Default","True","Male","None","consolidated_dataset/test_00107.png"
"Zombie","False","Female","None","consolidated_dataset/test_00108.png"
"Default","False","Female","Bow","consolidated_dataset/test_00109.png"
"Zombie","True","Female","None","consolidated_dataset/test_00110.png"
"Default","False","Male","Bow","consolidated_dataset/test_00111.png"
"Zombie","False","Female","Hammer","consolidated_dataset/test_00112.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00113.png"
"Default","False","Male","None","consolidated_dataset/test_00114.png"
"Default","False","Female","None","consolidated_dataset/test_00115.png"
"Zombie","False","Male","Staff","consolidated_dataset/test_00116.png"
"Default","True","Male","Bow","consolidated_dataset/test_00117.png"
"Default","True","Female","Bow","consolidated_dataset/test_00118.png"
"Default","False","Male","None","consolidated_dataset/test_00119.png"
"Default","False","Male","None","consolidated_dataset/test_00120.png"
"Zombie","False","Male","None","consolidated_dataset/test_00121.png"
"Zombie","True","Female","Hammer","consolidated_dataset/test_00122.png"
"Default","False","Female","None","consolidated_dataset/test_00123.png"
"Default","True","Female","Bow","consolidated_dataset/test_00124.png"
"Default","False","Male","Bow","consolidated_dataset/test_00125.png"
"Default","False","Male","Bow","consolidated_dataset/test_00126.png"
"Default","True","Female","None","consolidated_dataset/test_00127.png"
"Default","True","Male","None","consolidated_dataset/test_00128.png"
"Default","False","Female","Staff","consolidated_dataset/test_00129.png"
"Default","False","Male","Staff","consolidated_dataset/test_00130.png"
"Default","True","Male","None","consolidated_dataset/test_00131.png"
"Default","False","Female","Staff","consolidated_dataset/test_00132.png"
"Zombie","True","Male","None","consolidated_dataset/test_00133.png"
"Default","True","Female","Staff","consolidated_dataset/test_00134.png"
"Default","True","Female","None","consolidated_dataset/test_00135.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00136.png"
"Zombie","False","Male","None","consolidated_dataset/test_00137.png"
"Zombie","False","Female","Staff","consolidated_dataset/test_00138.png"
"Default","True","Female","Bow","consolidated_dataset/test_00139.png"
"Zombie","True","Female","None","consolidated_dataset/test_00140.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00141.png"
"Zombie","True","Male","None","consolidated_dataset/test_00142.png"
"Default","False","Male","Staff","consolidated_dataset/test_00143.png"
"Zombie","False","Male","None","consolidated_dataset/test_00144.png"
"Zombie","True","Male","None","consolidated_dataset/test_00145.png"
"Zombie","True","Male","Bow","consolidated_dataset/test_00146.png"
"Default","True","Male","Bow","consolidated_dataset/test_00147.png"
"Default","False","Female","Hammer","consolidated_dataset/test_00148.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00149.png"
"Default","False","Male","None","consolidated_dataset/test_00150.png"
"Default","False","Male","None","consolidated_dataset/test_00151.png"
"Zombie","True","Female","Hammer","consolidated_dataset/test_00152.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00153.png"
"Default","False","Male","None","consolidated_dataset/test_00154.png"
"Default","False","Male","None","consolidated_dataset/test_00155.png"
"Zombie","False","Male","None","consolidated_dataset/test_00156.png"
"Zombie","False","Male","None","consolidated_dataset/test_00157.png"
"Default","False","Male","None","consolidated_dataset/test_00158.png"
"Zombie","True","Male","None","consolidated_dataset/test_00159.png"
"Default","False","Male","None","consolidated_dataset/test_00160.png"
"Zombie","False","Male","None","consolidated_dataset/test_00161.png"
"Default","True","Male","Staff","consolidated_dataset/test_00162.png"
"Default","False","Female","None","consolidated_dataset/test_00163.png"
"Zombie","False","Male","None","consolidated_dataset/test_00164.png"
"Default","False","Male","Staff","consolidated_dataset/test_00165.png"
"Zombie","True","Female","None","consolidated_dataset/test_00166.png"
"Zombie","False","Male","Hammer","consolidated_dataset/test_00167.png"
"Zombie","True","Male","Hammer","consolidated_dataset/test_00168.png"
"Default","True","Male","Bow","consolidated_dataset/test_00169.png"
"Zombie","False","Male","None","consolidated_dataset/test_00170.png"
"Default","False","Male","Hammer","consolidated_dataset/test_00171.png"
"Default","False","Female","Bow","consolidated_dataset/test_00172.png"
"Zombie","True","Male","None","consolidated_dataset/test_00173.png"
"Default","True","Female","None","consolidated_dataset/test_00174.png"
