Action,FileName,Role,State,Posture,Weather,TimeOfDay,TimeRemaining,RoundDuration,Capacity,Military,HRA,Scientist,Medic,GameNumber,RoundNumber,GameInstanceID,StartTimestamp,OperatorName,PlayerName
skip,data/data/test_images/injured/p_0194_n_r_i_cropped.png,police,injured,injured,rain,night,112,120,0,500,500,500,500,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/injured/do_0028_d_i_cropped.png,doctor,injured,injured,sunny,day,108,120,0,500,480,500,460,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
save,data/data/test_images/zombie/m_z_0068_d_s_cropped.png,business,zombie,standing,sunny,day,103,120,0,500,480,500,420,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/healthy/m_0013_d_s_cropped.png,business,healthy,standing,sunny,day,100,120,1,460,520,580,380,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/corpse/m_c_0087_n_r_cropped.png,business,corpse,injured,rain,night,97,120,1,440,520,580,380,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
save,data/data/test_images/healthy/m_0132_n_r_s_cropped.png,business,healthy,standing,rain,night,56,120,1,420,520,580,380,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/corpse/g_c_0055_n_r_cropped.png,elderly,corpse,injured,rain,night,53,120,2,460,560,600,380,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/injured/g_0091_d_i_cropped.png,elderly,injured,injured,sunny,day,51,120,2,440,560,600,380,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
squish,data/data/test_images/zombie/m_z_0145_n_r_s_cropped.png,business,zombie,standing,rain,night,45,120,2,440,560,600,320,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/corpse/do_c_0163_d_cropped.png,doctor,corpse,injured,sunny,day,41,120,2,480,520,580,320,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
save,data/data/test_images/healthy/do_0016_d_s_cropped.png,doctor,healthy,standing,sunny,day,37,120,2,460,520,580,320,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/corpse/m_c_0106_n_r_cropped.png,business,corpse,injured,rain,night,34,120,3,500,560,580,360,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
save,data/data/test_images/healthy/p_0003_n_r_s_cropped.png,police,healthy,standing,rain,night,30,120,3,480,560,580,360,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
save,data/data/test_images/healthy/do_0165_d_s_cropped.png,doctor,healthy,standing,sunny,day,25,120,4,560,580,580,360,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/corpse/m_c_0149_d_cropped.png,business,corpse,injured,sunny,day,22,120,5,600,620,580,400,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/corpse/p_c_0144_d_cropped.png,police,corpse,injured,sunny,day,20,120,5,580,620,580,400,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/healthy/p_0012_d_s_cropped.png,police,healthy,standing,sunny,day,17,120,5,560,620,580,400,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
skip,data/data/test_images/injured/p_0117_d_i_cropped.png,police,injured,injured,sunny,day,15,120,5,540,600,580,400,1,1,826fe26e-5966-4f7e-b052-3e06702fd9e7,2025-07-28 14:04:37.122,Ayaan,Subject 100
